GEO.display-label Geography,Zip, HC03_EST_VC02 Median income (dollars); Estimate; Households 
ZCTA5,02019," $95,533.00 "
ZCTA5,02021," $96,583.00 "
ZCTA5,02025," $140,000.00 "
ZCTA5,02026," $89,451.00 "
ZCTA5,02030," $204,018.00 "
ZCTA5,02032," $120,250.00 "
ZCTA5,02035," $98,199.00 "
ZCTA5,02038," $111,935.00 "
ZCTA5,02043," $125,144.00 "
ZCTA5,02045," $80,584.00 "
ZCTA5,02047," $26,953.00 "
ZCTA5,02048," $111,141.00 "
ZCTA5,02050," $92,610.00 "
ZCTA5,02052," $153,847.00 "
ZCTA5,02053," $115,432.00 "
ZCTA5,02054," $100,230.00 "
ZCTA5,02056," $139,137.00 "
ZCTA5,02061," $128,563.00 "
ZCTA5,02062," $87,516.00 "
ZCTA5,02066," $114,766.00 "
ZCTA5,02067," $133,229.00 "
ZCTA5,02071," $115,333.00 "
ZCTA5,02072," $78,343.00 "
ZCTA5,02081," $105,420.00 "
ZCTA5,02090," $146,042.00 "
ZCTA5,02093," $107,444.00 "
ZCTA5,02108," $126,224.00 "
ZCTA5,02109," $129,716.00 "
ZCTA5,02110," $108,438.00 "
ZCTA5,02111," $39,329.00 "
ZCTA5,02113," $91,212.00 "
ZCTA5,02114," $89,452.00 "
ZCTA5,02115," $38,759.00 "
ZCTA5,02116," $103,422.00 "
ZCTA5,02118," $70,575.00 "
ZCTA5,02119," $30,663.00 "
ZCTA5,02120," $32,243.00 "
ZCTA5,02121," $27,964.00 "
ZCTA5,02122," $56,024.00 "
ZCTA5,02124," $50,227.00 "
ZCTA5,02125," $53,382.00 "
ZCTA5,02126," $50,039.00 "
ZCTA5,02127," $91,597.00 "
ZCTA5,02128," $52,154.00 "
ZCTA5,02129," $103,834.00 "
ZCTA5,02130," $84,847.00 "
ZCTA5,02131," $72,127.00 "
ZCTA5,02132," $93,343.00 "
ZCTA5,02134," $49,938.00 "
ZCTA5,02135," $61,566.00 "
ZCTA5,02136," $64,877.00 "
ZCTA5,02138," $87,671.00 "
ZCTA5,02139," $91,250.00 "
ZCTA5,02140," $91,596.00 "
ZCTA5,02141," $77,261.00 "
ZCTA5,02142," $120,729.00 "
ZCTA5,02143," $90,285.00 "
ZCTA5,02144," $102,033.00 "
ZCTA5,02145," $68,553.00 "
ZCTA5,02148," $62,283.00 "
ZCTA5,02149," $57,143.00 "
ZCTA5,02150," $51,875.00 "
ZCTA5,02151," $53,771.00 "
ZCTA5,02152," $69,928.00 "
ZCTA5,02155," $86,459.00 "
ZCTA5,02163," $64,000.00 "
ZCTA5,02169," $67,028.00 "
ZCTA5,02170," $82,159.00 "
ZCTA5,02171," $78,839.00 "
ZCTA5,02176," $93,434.00 "
ZCTA5,02180," $90,320.00 "
ZCTA5,02184," $88,993.00 "
ZCTA5,02186," $126,000.00 "
ZCTA5,02188," $81,040.00 "
ZCTA5,02189," $58,674.00 "
ZCTA5,02190," $85,053.00 "
ZCTA5,02191," $73,948.00 "
ZCTA5,02199," $82,238.00 "
ZCTA5,02203,
ZCTA5,02210," $170,152.00 "
ZCTA5,02215," $43,403.00 "
ZCTA5,02301," $47,724.00 "
ZCTA5,02302," $63,718.00 "
ZCTA5,02322," $69,709.00 "
ZCTA5,02324," $88,640.00 "
ZCTA5,02330," $73,904.00 "
ZCTA5,02332," $123,613.00 "
ZCTA5,02333," $86,568.00 "
ZCTA5,02338," $77,993.00 "
ZCTA5,02339," $111,311.00 "
ZCTA5,02341," $96,389.00 "
ZCTA5,02343," $67,589.00 "
ZCTA5,02346," $79,811.00 "
ZCTA5,02347," $97,990.00 "
ZCTA5,02351," $91,643.00 "
ZCTA5,02356," $113,783.00 "
ZCTA5,02357,
ZCTA5,02359," $101,447.00 "
ZCTA5,02360," $83,746.00 "
ZCTA5,02364," $89,796.00 "
ZCTA5,02366,
ZCTA5,02367," $87,438.00 "
ZCTA5,02368," $70,163.00 "
ZCTA5,02370," $77,573.00 "
ZCTA5,02375," $94,457.00 "
ZCTA5,02379," $85,368.00 "
ZCTA5,02382," $79,705.00 "
ZCTA5,02420," $168,065.00 "
ZCTA5,02421," $158,554.00 "
ZCTA5,02445," $111,642.00 "
ZCTA5,02446," $102,342.00 "
ZCTA5,02451," $94,886.00 "
ZCTA5,02452," $87,055.00 "
ZCTA5,02453," $73,042.00 "
ZCTA5,02457,
ZCTA5,02458," $103,978.00 "
ZCTA5,02459," $169,963.00 "
ZCTA5,02460," $118,148.00 "
ZCTA5,02461," $159,517.00 "
ZCTA5,02462," $104,375.00 "
ZCTA5,02464," $102,946.00 "
ZCTA5,02465," $137,438.00 "
ZCTA5,02466," $115,345.00 "
ZCTA5,02467," $119,964.00 "
ZCTA5,02468," $212,394.00 "
ZCTA5,02472," $92,959.00 "
ZCTA5,02474," $104,583.00 "
ZCTA5,02476," $101,713.00 "
ZCTA5,02478," $118,342.00 "
ZCTA5,02481," $187,819.00 "
ZCTA5,02482," $160,644.00 "
ZCTA5,02492," $147,375.00 "
ZCTA5,02493," $196,651.00 "
ZCTA5,02494," $126,866.00 "
ZCTA5,02532," $75,502.00 "
ZCTA5,02534," $88,844.00 "
ZCTA5,02535," $79,792.00 "
ZCTA5,02536," $67,880.00 "
ZCTA5,02537," $95,966.00 "
ZCTA5,02538," $67,993.00 "
ZCTA5,02539," $75,404.00 "
ZCTA5,02540," $70,758.00 "
ZCTA5,02542," $48,750.00 "
ZCTA5,02543," $92,188.00 "
ZCTA5,02553,
ZCTA5,02554," $92,327.00 "
ZCTA5,02556," $83,659.00 "
ZCTA5,02557," $66,091.00 "
ZCTA5,02558," $33,679.00 "
ZCTA5,02559," $71,741.00 "
ZCTA5,02561,
ZCTA5,02562," $86,310.00 "
ZCTA5,02563," $84,087.00 "
ZCTA5,02564,
ZCTA5,02568," $48,869.00 "
ZCTA5,02571," $59,449.00 "
ZCTA5,02575," $92,188.00 "
ZCTA5,02576," $84,497.00 "
ZCTA5,02584,
ZCTA5,02601," $46,821.00 "
ZCTA5,02630," $106,299.00 "
ZCTA5,02631," $69,606.00 "
ZCTA5,02632," $80,072.00 "
ZCTA5,02633," $76,793.00 "
ZCTA5,02635," $62,021.00 "
ZCTA5,02637," $142,692.00 "
ZCTA5,02638," $70,850.00 "
ZCTA5,02639," $44,787.00 "
ZCTA5,02641,
ZCTA5,02642," $62,143.00 "
ZCTA5,02643,
ZCTA5,02644," $92,286.00 "
ZCTA5,02645," $78,077.00 "
ZCTA5,02646," $62,933.00 "
ZCTA5,02647,
ZCTA5,02648," $82,406.00 "
ZCTA5,02649," $73,841.00 "
ZCTA5,02650," $77,991.00 "
ZCTA5,02651,
ZCTA5,02652," $60,250.00 "
ZCTA5,02653," $61,506.00 "
ZCTA5,02655," $75,000.00 "
ZCTA5,02657," $47,500.00 "
ZCTA5,02659," $57,540.00 "
ZCTA5,02660," $54,924.00 "
ZCTA5,02663," $61,875.00 "
ZCTA5,02664," $56,242.00 "
ZCTA5,02666," $63,306.00 "
ZCTA5,02667," $57,667.00 "
