LEAID,LEA_NAME,LEA_TYPE_TEXT,STABR,STATENAME,LCITY,LSTATE,LZIP,GSLO,GSHI,AGCHRT,SCH,TOTTCH,TOTGUI,MEMBER,AM,AS,HI,BL,WH,HP,TR
3007110,Columbia Falls Elem,Regular local school district that is NOT a component of a supervisory union,MT,MONTANA,Columbia Falls,MT,59912,PK,8,3,3,96,4,1408,29,5,47,1,1242,2,82
3007140,Columbia Falls H S,Regular local school district that is NOT a component of a supervisory union,MT,MONTANA,Columbia Falls,MT,59912,9,12,3,1,41,2,638,9,3,18,0,580,2,26
3008700,Deer Park Elem,Regular local school district that is NOT a component of a supervisory union,MT,MONTANA,Columbia Falls,MT,59912,PK,8,3,2,10,0,126,1,0,5,0,120,0,0
3015900,Upper West Shore Elem,Regular local school district that is NOT a component of a supervisory union,MT,MONTANA,Dayton,MT,59914,PK,6,3,1,4,0,58,8,0,0,1,49,0,0
3010080,Eureka Elem,Regular local school district that is NOT a component of a supervisory union,MT,MONTANA,Eureka,MT,59917,PK,8,3,2,31,1,431,22,0,29,1,367,1,11
3016770,Lincoln County H S,Regular local school district that is NOT a component of a supervisory union,MT,MONTANA,Eureka,MT,59917,9,12,3,1,18,1,275,8,3,19,0,237,0,8
3011340,Fortine Elem,Regular local school district that is NOT a component of a supervisory union,MT,MONTANA,Fortine,MT,59918,PK,8,3,2,7,0,76,3,2,1,2,67,0,1
3015570,Kila Elem,Regular local school district that is NOT a component of a supervisory union,MT,MONTANA,Kila,MT,59920,PK,8,3,2,12,0,158,3,0,2,0,146,0,7
3016530,Libby K-12 Schools,Regular local school district that is NOT a component of a supervisory union,MT,MONTANA,Libby,MT,59923,PK,12,3,3,74,3,1147,15,14,38,3,1021,1,55
3017700,Marion Elem,Regular local school district that is NOT a component of a supervisory union,MT,MONTANA,Marion,MT,59925,PK,8,3,2,11,0,110,0,0,4,0,96,0,10
3020880,Pleasant Valley Elem,Regular local school district that is NOT a component of a supervisory union,MT,MONTANA,Marion,MT,59925,PK,8,3,1,1,0,1,0,0,0,0,1,0,0
3000002,Somers Elem,Regular local school district that is NOT a component of a supervisory union,MT,MONTANA,Somers,MT,59932,PK,8,3,2,39,2,522,4,2,8,0,505,1,2
3026460,Trego Elem,Regular local school district that is NOT a component of a supervisory union,MT,MONTANA,Trego,MT,59934,PK,8,3,1,4,0,22,0,0,0,0,14,0,8
3006030,McCormick Elem,Regular local school district that is NOT a component of a supervisory union,MT,MONTANA,Troy,MT,59935,PK,8,3,1,0,0,18,0,0,2,0,16,0,0
3026550,Troy Elem,Regular local school district that is NOT a component of a supervisory union,MT,MONTANA,Troy,MT,59935,PK,8,3,2,19,1,255,2,1,13,0,231,0,8
3026580,Troy H S,Regular local school district that is NOT a component of a supervisory union,MT,MONTANA,Troy,MT,59935,9,12,3,1,11,1,127,1,0,10,0,109,0,7
3028830,Yaak Elem,Regular local school district that is NOT a component of a supervisory union,MT,MONTANA,Troy,MT,59935,PK,8,3,1,1,0,3,0,0,0,0,3,0,0
3000094,West Glacier Elem,Regular local school district that is NOT a component of a supervisory union,MT,MONTANA,West Glacier,MT,59936,PK,6,3,1,6,0,70,3,1,0,0,66,0,0
3010950,Olney-Bissell Elem,Regular local school district that is NOT a component of a supervisory union,MT,MONTANA,Whitefish,MT,59937,PK,8,3,2,10,0,77,1,1,5,0,68,0,2
3027740,Whitefish Elem,Regular local school district that is NOT a component of a supervisory union,MT,MONTANA,Whitefish,MT,59937,PK,8,3,2,71,3,1186,6,9,25,1,1134,2,9
3027790,Whitefish H S,Regular local school district that is NOT a component of a supervisory union,MT,MONTANA,Whitefish,MT,59937,9,12,3,1,34,2,480,5,3,14,1,457,0,0
3704380,Stokes County Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Danbury,NC,27016,PK,13,3,20,454,21,6295,18,20,290,195,5581,5,186
3704410,Surry County Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Dobson,NC,27017,PK,13,3,19,534,23,8377,9,31,1901,197,6061,1,177
3701170,Davie County Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Mocksville,NC,27028,KG,13,3,12,432,18,6323,16,55,817,392,4749,2,292
3700111,Millennium Charter Academy,Independent Charter District,NC,NORTH CAROLINA,Mount Airy,NC,27030,KG,10,1,1,42,1,675,2,6,29,15,609,2,12
3703210,Mount Airy City Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Mount Airy,NC,27030,PK,12,3,4,116,3,1633,1,20,300,143,1106,0,63
3705040,Yadkin County Schools,Regular local school district that is NOT a component of a supervisory union,NC,NORTH CAROLINA,Yadkinville,NC,27055,PK,13,3,14,370,11,5602,16,24,1314,164,3950,10,124
